Time,skill_name,job_class,skill_conditional
6.3,Chain Stratagem,SCH,
7.1,Battle Litany,DRG,
0.8,Arcane Circle,RPR,
6.28,Embolden,RDM,
0,Tomahawk,,
0.65,Infuriate,,
2.5,Heavy Swing,,
5,Maim,,
5.65,Grade 8 Tincture,,
7.5,Storm's Eye,,
8.15,Inner Release,,
10,Inner Chaos,,
10.65,Upheaval,,
11.3,Onslaught,,
12.5,Primal Rend,,
15,Inner Chaos,,
15.65,Onslaught,,
17.5,Fell Cleave,,
18.15,Onslaught,,
20,Fell Cleave,,
22.5,Fell Cleave,,
25,Heavy Swing,,
27.5,Maim,,
30,Storm's Path,,
32.5,Fell Cleave,,
35,Inner Chaos,,